Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
1,B001E4KFG0,A3SGXH7AUHU8GW,delmartian,1,1,5,1303862400,Good Quality Dog Food,i have bought several of the vitality canned dog food products and have found them all to be of good quality the product looks more like a stew than a processed meat and it smells better my labrador is finicky and she appreciates this product better than  most
2,B00813GRG4,A1D87F6ZCVE5NK,dll pa,0,0,1,1346976000,Not as Advertised,product arrived labeled as jumbo salted peanutsthe peanuts were actually small sized unsalted not sure if this was an error or if the vendor intended to represent the product as jumbo
3,B000LQOCH0,ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",1,1,4,1219017600,"""Delight"" says it all",this is a confection that has been around a few centuries  it is a light pillowy citrus gelatin with nuts  in this case filberts and it is cut into tiny squares and then liberally coated with powdered sugar  and it is a tiny mouthful of heaven  not too chewy and very flavorful  i highly recommend this yummy treat  if you are familiar with the story of cs lewis the lion the witch and the wardrobe  this is the treat that seduces edmund into selling out his brother and sisters to the witch
4,B000UA0QIQ,A395BORC6FGVXV,Karl,3,3,2,1307923200,Cough Medicine,if you are looking for the secret ingredient in robitussin i believe i have found it  i got this in addition to the root beer extract i ordered which was good and made some cherry soda  the flavor is very medicinal
5,B006K2ZZ7K,A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",0,0,5,1350777600,Great taffy,great taffy at a great price  there was a wide assortment of yummy taffy  delivery was very quick  if your a taffy lover this is a deal
6,B006K2ZZ7K,ADT0SRK1MGOEU,Twoapennything,0,0,4,1342051200,Nice Taffy,i got a wild hair for taffy and ordered this five pound bag the taffy was all very enjoyable with many flavors watermelon root beer melon peppermint grape etc my only complaint is there was a bit too much redblack licoriceflavored pieces just not my particular favorites between me my kids and my husband this lasted only two weeks i would recommend this brand of taffy  it was a delightful treat
7,B006K2ZZ7K,A1SP2KVKFXXRU1,David C. Sullivan,0,0,5,1340150400,Great!  Just as good as the expensive brands!,this saltwater taffy had great flavors and was very soft and chewy  each candy was individually wrapped well  none of the candies were stuck together which did happen in the expensive version fralingers  would highly recommend this candy  i served it at a beachthemed party and everyone loved it
8,B006K2ZZ7K,A3JRGQVEQN31IQ,Pamela G. Williams,0,0,5,1336003200,"Wonderful, tasty taffy",this taffy is so good  it is very soft and chewy  the flavors are amazing  i would definitely recommend you buying it  very satisfying
9,B000E7L2R4,A1MZYO9TZK0BBI,R. James,1,1,5,1322006400,Yay Barley,right now im mostly just sprouting this so my cats can eat the grass they love it i rotate it around with wheatgrass and rye too
10,B00171APVA,A21BT40VZCCYT4,Carol A. Reed,0,0,5,1351209600,Healthy Dog Food,this is a very healthy dog food good for their digestion also good for small puppies my dog eats her required amount at every feeding
11,B0001PB9FE,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,i dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind  we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away  when we realized that we simply couldnt find it anywhere in our city we were bummedbr br now because of the magic of the internet we have a case of the sauce and are ecstatic because of itbr br if you love hot saucei mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan  just realize that once you taste it you will never want to use any other saucebr br thank you for the personal incredible service
12,B0009XLVG0,A2725IB4YY9JEB,"A Poeng ""SparkyGoHome""",4,4,5,1282867200,"My cats LOVE this ""diet"" food better than their regular food",one of my boys needed to lose some weight and the other didnt  i put this food on the floor for the chubby guy and the proteinrich no byproduct food up higher where only my skinny boy can jump  the higher food sits going stale  they both really go for this food  and my chubby boy has been losing about an ounce a week
13,B0009XLVG0,A327PCT23YH90,LT,1,1,1,1339545600,My Cats Are Not Fans of the New Food,my cats have been happily eating felidae platinum for more than two years i just got a new bag and the shape of the food is different they tried the new food when i first put it in their bowls and now the bowls sit full and the kitties will not touch the food ive noticed similar reviews related to formula changes in the past unfortunately i now need to find a new food that my cats will eat
14,B001GVISJM,A18ECVX2RJ7HUE,"willie ""roadie""",2,2,4,1288915200,fresh and greasy!,good flavor these came securely packed they were fresh and delicious i love these twizzlers
15,B001GVISJM,A2MUGFV2TDQ47K,"Lynrie ""Oh HELL no""",4,5,5,1268352000,Strawberry Twizzlers - Yummy,the strawberry twizzlers are my guilty pleasure  yummy six pounds will be around for a while with my son and i
16,B001GVISJM,A1CZX3CP8IKQIJ,Brian A. Lee,4,5,5,1262044800,"Lots of twizzlers, just what you expect.",my daughter loves twizzlers and this shipment of six pounds really hit the spot its exactly what you would expectsix packages of strawberry twizzlers
17,B001GVISJM,A3KLWF6WQ5BNYO,Erica Neathery,0,0,2,1348099200,poor taste,i love eating them and they are good for watching tv and looking at movies it is not too sweet i like to transfer them to a zip lock baggie so they stay fresh so i can take my time eating them
18,B001GVISJM,AFKW14U97Z6QO,Becca,0,0,5,1345075200,Love it!,i am very satisfied with my twizzler purchase  i shared these with others and we have all enjoyed them  i will definitely be ordering more
19,B001GVISJM,A2A9X58G2GTBLP,Wolfee1,0,0,5,1324598400,GREAT SWEET CANDY!,twizzlers strawberry my childhood favorite candy made in lancaster pennsylvania by y  s candies inc one of the oldest confectionery firms in the united states now a subsidiary of the hershey company the company was established in 1845 as young and smylie they also make apple licorice twists green color and blue raspberry licorice twists i like them allbr br i keep it in a dry cool place because is not recommended it to put it in the fridge according to the guinness book of records the longest licorice twist ever made measured 1200 feet 370 m and weighted 100 pounds 45 kg and was made by y  s candies inc this recordbreaking twist became a guinness world record on july 19 1998 this product is kosher thank you
20,B001GVISJM,A3IV7CL2C13K2U,Greg,0,0,5,1318032000,Home delivered twizlers,candy was delivered very fast and was purchased at a reasonable price  i was home bound and unable to get to a store so this was perfect for me
21,B001GVISJM,A1WO0KGLPR5PV6,mom2emma,0,0,5,1313452800,Always fresh,my husband is a twizzlers addict  weve bought these many times from amazon because were government employees living overseas and cant get them in the country we are assigned to  theyve always been fresh and tasty packed well and arrive in a timely manner
22,B001GVISJM,AZOF9E17RGZH8,Tammy Anderson,0,0,5,1308960000,TWIZZLERS,i bought these for my husband who is currently overseas he loves these and apparently his staff likes them alsobr there are generous amounts of twizzlers in each 16ounce bag and this was well worth the price a hrefhttpwwwamazoncomgpproductb001gvisjmtwizzlers strawberry 16ounce bags pack of 6a
23,B001GVISJM,ARYVQL4N737A1,Charles Brown,0,0,5,1304899200,Delicious product!,i can remember buying this candy as a kid and the quality hasnt dropped in all these years still a superb product you wont be disappointed with
24,B001GVISJM,AJ613OLZZUG7V,Mare's,0,0,5,1304467200,Twizzlers,i love this candy  after weight watchers i had to cut back but still have a craving for it
25,B001GVISJM,A22P2J09NJ9HKE,"S. Cabanaugh ""jilly pepper""",0,0,5,1295481600,Please sell these in Mexico!!,i have lived out of the us for over 7 yrs now and i so miss my twizzlers  when i go back to visit or someone visits me i always stock up  all i can say is yumbr sell these in mexico and you will have a faithful buyer more often than im able to buy them right now
26,B001GVISJM,A3FONPR03H3PJS,"Deborah S. Linzer ""Cat Lady""",0,0,5,1288310400,Twizzlers - Strawberry,product received is as advertisedbr br a hrefhttpwwwamazoncomgpproductb001gvisjmtwizzlers strawberry 16ounce bags pack of 6a
27,B001GVISJM,A3RXAU2N8KV45G,lady21,0,1,1,1332633600,Nasty No flavor,the candy is just red  no flavor  just  plan and chewy   i would never buy them again
28,B001GVISJM,AAAS38B98HMIK,Heather Dube,0,1,4,1331856000,Great Bargain for the Price,i was so glad amazon carried these batteries  i have a hard time finding them elsewhere because they are such a unique size  i need them for my garage door openerbr great deal for the price
29,B00144C10S,A2F4LZVGFLD1OB,DaisyH,0,0,5,1338854400,YUMMY!,i got this for my mum who is not diabetic but needs to watch her sugar intake and my father who simply chooses to limit unnecessary sugar intake  shes the one with the sweet tooth  they both loved these toffees you would never guess that theyre sugarfree and its so great that you can eat them pretty much guilt free  i was so impressed that ive ordered some for myself w dark chocolate to take to the office so ill eat them instead of snacking on sugary sweetsbr these are just excellent
30,B0001PB9FY,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,i dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind  we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away  when we realized that we simply couldnt find it anywhere in our city we were bummedbr br now because of the magic of the internet we have a case of the sauce and are ecstatic because of itbr br if you love hot saucei mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan  just realize that once you taste it you will never want to use any other saucebr br thank you for the personal incredible service
31,B003F6UO7K,AFM0O9480F04W,Sherril,0,0,5,1297641600,Great machine!,i have never been a huge coffee fan however my mother purchased this little machine and talked me into trying the latte macciato no coffee shop has a better one and i like most of the other products too as a usually noncoffee drinkerbr the little dolche guesto machine is super easy to use and prepares a really good coffeelattecappuccinoetc in less than a minute if water is heated up i would recommend the dolce gusto to anyone too good for the price and iam getting one myself
32,B003F6UO7K,A31OQO709M20Y7,"Molly V. Smith ""staral""",0,1,5,1288310400,THIS IS MY TASTE...,this offer is a great price and a great taste thanks amazon for selling this productbr br staral
33,B001EO5QW8,AOVROBZ8BNTP7,S. Potter,19,19,4,1163376000,Best of the Instant Oatmeals,mccanns instant oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it there is no escaping the fact however that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation  still the mccanns is as good as it gets for instant oatmeal its even better than the organic allnatural brands i have tried  all the varieties in the mccanns variety pack taste good  it can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issuebr br mccanns use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product  real sugar tastes better and is not as harmful as the other stuff one thing i do not like though is mccanns use of thickeners  oats plus water plus heat should make a creamy tasty oatmeal without the need for guar gum but this is a convenience product  maybe the guar gum is why after sitting in the bowl a while the instant mccanns becomes too thick and gluey
